schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,direct,direct-locking,single-threaded,1,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,1,0,0,0,500000,0.012,0.293,15348938.941,1705437.660,0.208,0.375,0.583,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,1,0,0,0,500000,0.038,0.411,6079764.689,6079764.689,0.084,0.208,0.250,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,1,0,0,0,500000,0.037,0.405,6168633.793,6168633.793,0.084,0.208,0.250,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,1,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,0,500000,0.322,3.435,1310092.519,145565.835,0.209,161.792,601.375,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,0,500000,0.283,2.900,861981.108,861981.108,0.250,12.333,61.375,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,0,500000,0.264,2.724,917743.029,917743.029,0.208,11.125,48.709,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,1,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.094,0.918,4899665.510,544407.279,0.250,2.000,42.875,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.075,0.719,3477735.278,3477735.278,0.208,0.625,22.917,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.074,0.730,3425630.864,3425630.864,0.209,0.750,25.833,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,1,0,0,0,500000,0.037,0.332,7528577.554,7528577.554,0.083,0.167,0.209,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,1,0,0,0,500000,0.035,0.384,6512979.880,6512979.880,0.084,0.208,0.250,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,2,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,0,500000,0.344,3.496,1287282.072,143031.341,0.209,165.459,580.250,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,0,500000,0.286,2.924,855080.135,855080.135,0.250,11.666,53.916,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,0,500000,0.263,2.574,971086.687,971086.687,0.209,9.042,47.291,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,2,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.096,0.955,4714213.261,523801.473,0.333,3.500,43.875,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.077,0.869,2877452.880,2877452.880,0.209,0.750,25.125,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.076,0.764,3270274.625,3270274.625,0.250,0.792,26.792,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,2,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,1,0,0,0,500000,0.011,0.094,47720653.728,5302294.859,0.125,0.208,0.250,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,1,0,0,0,500000,0.035,0.391,6392331.248,6392331.248,0.084,0.208,0.250,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,3,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,0,500000,0.327,3.427,1312997.929,145888.659,0.209,167.167,584.833,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,0,500000,0.298,2.979,839345.671,839345.671,0.250,12.250,62.458,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,0,500000,0.264,2.801,892597.917,892597.917,0.208,11.792,67.084,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,3,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.096,0.947,4751302.740,527922.527,0.292,2.792,39.750,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.077,0.769,3251896.099,3251896.099,0.209,0.833,26.416,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.075,0.745,3353510.849,3353510.849,0.250,0.833,25.709,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,3,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,1,0,0,0,500000,0.011,0.099,45673049.475,5074783.275,0.125,0.209,0.250,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,single-threaded,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,1,0,0,0,500000,0.038,0.353,7081538.606,7081538.606,0.083,0.167,0.209,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,4,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,0,500000,0.317,3.539,1271670.906,141296.767,0.209,180.833,594.042,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,0,500000,0.296,2.936,851603.904,851603.904,0.250,12.458,56.875,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,global-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,0,500000,0.267,2.842,879744.937,879744.937,0.209,11.625,60.042,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,4,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.091,0.921,4884392.752,542710.306,0.333,4.458,41.375,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-locking,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.078,0.738,3385887.004,3385887.004,0.208,0.750,25.916,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
