schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,direct,direct-sorting,striped-read,1,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.093,0.944,4769460.824,529940.092,0.334,3.375,42.500,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.082,0.815,3066108.992,3066108.992,0.250,0.792,25.375,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,1,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.070,0.708,706640.578,6359765.202,0.209,0.416,2.917,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.081,0.796,3139359.954,3139359.954,0.250,0.791,26.208,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,1,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.099,0.986,4562773.886,506974.876,0.333,5.125,42.334,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.086,0.841,2972418.042,2972418.042,0.250,0.792,24.792,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,1,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.072,0.727,687367.070,6186303.627,0.209,0.417,3.333,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.084,0.843,2967283.035,2967283.035,0.250,0.792,26.125,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.080,0.801,3121493.848,3121493.848,0.250,0.791,24.584,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,2,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.066,0.722,692561.502,6233053.522,0.209,0.417,3.042,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.079,0.803,3112643.777,3112643.777,0.291,0.792,22.583,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,2,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.092,0.959,4690121.299,521124.589,0.333,4.375,44.750,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.089,0.835,2993237.380,2993237.380,0.250,0.833,26.750,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,2,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.070,0.718,696670.767,6270036.904,0.250,0.417,3.250,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.080,0.829,3014810.558,3014810.558,0.250,0.791,26.458,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,2,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.091,0.878,5125823.300,569535.922,0.333,4.000,40.000,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,3,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.065,0.723,691668.563,6225017.070,0.209,0.417,3.166,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.077,0.775,3226553.417,3226553.417,0.250,0.750,20.875,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,3,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.095,0.971,4633411.361,514823.485,0.333,5.791,40.750,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.083,0.796,3141290.209,3141290.209,0.250,0.750,26.125,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,3,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.074,0.783,638731.734,5748585.608,0.250,0.417,2.875,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.081,0.823,3039231.770,3039231.770,0.209,0.708,23.292,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,3,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.091,0.902,4988628.466,554292.052,0.333,4.208,41.291,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.081,0.771,3244371.937,3244371.937,0.250,0.667,25.583,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.079,0.799,3128594.462,3128594.462,0.250,0.792,24.208,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,4,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.094,0.958,4699260.595,522140.066,0.333,5.209,41.750,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.081,0.806,3099977.532,3099977.532,0.250,0.750,27.166,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,4,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.073,0.775,645542.091,5809878.819,0.250,0.458,3.667,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.083,0.848,2947986.900,2947986.900,0.250,0.833,26.875,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,4,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.089,0.900,5002615.484,555846.165,0.333,3.917,42.125,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.077,0.794,3148169.877,3148169.877,0.250,0.750,26.167,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,4,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.070,0.705,709116.298,6382046.682,0.209,0.416,2.958,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,5,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.095,0.967,4652597.844,516955.316,0.292,2.959,45.500,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.080,0.834,2996344.909,2996344.909,0.250,0.833,29.875,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,5,42,10,50000,5000000,500000,4500000,500000,4500000,10,90,uniform,10,0,4,64,500000,0.070,0.742,673639.925,6062759.324,0.250,0.417,3.334,0,0,0,0,0x79037fb641025960,0x79037fb641025960,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-write,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,hot,10,0,4,64,500000,0.083,0.821,3043479.452,3043479.452,0.250,0.792,28.000,0,0,0,0,0x892d2ff9d01cac7e,0x892d2ff9d01cac7e,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,5,42,10,50000,5000000,4500000,500000,4500000,500000,90,10,uniform,10,0,4,64,500000,0.089,0.904,4980393.161,553377.018,0.333,4.042,41.875,0,0,0,0,0x80a304a084bd7fd6,0x80a304a084bd7fd6,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,direct,direct-sorting,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.078,0.778,3212840.051,3212840.051,0.250,0.708,24.708,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
