schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,direct,direct-workers,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,1,64,500000,0.106,0.926,2698507.737,2698507.737,0.084,0.334,3.958,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.078,0.768,3256053.262,3256053.262,0.250,0.833,27.084,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,1,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,8,64,500000,0.081,0.805,3104176.956,3104176.956,0.334,5.208,54.375,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.078,0.784,3189759.258,3189759.258,0.250,0.916,27.084,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,8,64,500000,0.083,0.802,3116966.992,3116966.992,0.334,5.833,52.209,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,2,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,1,64,500000,0.101,0.915,2731300.526,2731300.526,0.084,0.417,3.500,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,8,64,500000,0.082,0.786,3179948.351,3179948.351,0.333,4.750,55.125,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,1,64,500000,0.098,0.905,2763084.056,2763084.056,0.084,0.458,3.541,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,3,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.080,0.793,3152990.675,3152990.675,0.250,0.917,26.375,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,1,64,500000,0.101,0.918,2722585.056,2722585.056,0.084,0.417,3.750,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.079,0.783,3193725.818,3193725.818,0.250,0.916,25.917,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,4,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,8,64,500000,0.081,0.792,3158446.468,3158446.468,0.333,5.083,53.417,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,4,64,500000,0.079,0.774,3230047.191,3230047.191,0.250,0.916,26.500,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,8,64,500000,0.079,0.790,3165602.312,3165602.312,0.333,5.042,53.500,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
1,direct,direct-workers,striped-read,5,42,10,50000,5000000,2500000,2500000,2500000,2500000,50,50,uniform,10,0,1,64,500000,0.099,0.875,2857748.292,2857748.292,0.084,0.416,3.417,0,0,0,0,0x72b8ab5f7da32fe2,0x72b8ab5f7da32fe2,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,0b12dbc03003,false
