schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,tcp,tcp-modes,single-threaded,1,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,1,16,0,0,200000,0.344,3.612,498301.398,55366.822,193.458,782.250,2269.042,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,global-read,1,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,0,200000,0.370,3.673,490011.879,54445.764,191.000,428.042,3339.917,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-read,1,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.361,3.674,489987.591,54443.066,194.917,456.500,2623.833,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-write,1,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.355,3.647,493519.850,54835.539,190.833,493.958,2801.875,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,global-read,2,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,0,200000,0.461,3.641,494411.049,54934.561,190.625,456.333,3328.666,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-read,2,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.334,3.691,487706.351,54189.595,190.916,514.958,2830.750,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-write,2,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.358,3.600,499961.421,55551.269,190.333,473.917,2657.583,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,single-threaded,2,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,1,16,0,0,200000,0.329,3.596,500564.775,55618.308,191.042,800.041,2242.458,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-read,3,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.361,3.676,489705.106,54411.678,190.542,525.458,2910.833,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,striped-write,3,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,64,200000,0.362,3.641,494430.996,54936.777,190.208,475.375,3110.708,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,single-threaded,3,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,1,16,0,0,200000,0.327,3.588,501676.226,55741.803,190.083,848.250,2183.083,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-modes,global-read,3,42,10,50000,2000000,1800000,200000,1800000,200000,90,10,uniform,10,16,4,0,200000,0.409,3.602,499703.839,55522.649,189.750,334.917,2873.333,0,0,0,0,0xcfe157183e827474,0xcfe157183e827474,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
