schema_version,level,suite,mode,repetition,seed,exchange_count,instrument_count,measurement_operations,requested_updates,requested_queries,successful_updates,successful_queries,update_percent,query_percent,distribution,writer_count,concurrent_client_count,query_worker_count,stripe_count,warmup_operations,warmup_seconds,measurement_seconds,updates_per_second,queries_per_second,query_p50_us,query_p95_us,query_p99_us,errors,rejected_requests,queue_full_responses,update_frames_rejected,logical_checksum,oracle_checksum,correct,build_type,compiler,compiler_version,system_name,system_version,architecture,cpu_model,logical_cpu_count,git_revision,git_dirty
1,tcp,tcp-workers,striped-read,1,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,1,64,50000,0.269,2.676,93409.560,93409.560,160.334,207.667,274.125,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,1,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,4,64,50000,0.312,3.101,80615.891,80615.891,185.375,237.542,291.500,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,1,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,8,64,50000,0.315,3.162,79053.580,79053.580,190.084,240.042,317.792,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,2,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,4,64,50000,0.299,3.095,80773.288,80773.288,186.333,238.250,345.166,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,2,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,8,64,50000,0.303,3.103,80557.373,80557.373,187.209,233.291,297.417,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,2,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,1,64,50000,0.259,2.675,93448.600,93448.600,159.875,203.709,265.542,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,3,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,8,64,50000,0.300,3.117,80200.541,80200.541,189.042,240.042,308.625,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,3,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,1,64,50000,0.259,2.683,93166.883,93166.883,160.166,210.917,296.375,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,3,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,4,64,50000,0.297,3.124,80033.982,80033.982,187.667,243.167,342.667,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
1,tcp,tcp-workers,striped-read,4,42,10,50000,500000,250000,250000,250000,250000,50,50,uniform,10,16,1,64,50000,0.257,2.664,93834.228,93834.228,158.084,205.000,268.333,0,0,0,0,0xa4a9e48ae774c83a,0xa4a9e48ae774c83a,true,Release,AppleClang,17.0.0.17000603,Darwin,25.5.0,arm64,Apple M2 Pro,10,73b1cf98ab20,true
